X,Y,LOCATION_ORIGINAL,ATE_TYPE,ATE_STATUS,OBJECTID
-77.072856035569,38.9165182797822,37th St s/b @ Whitehaven Pkwy NW ,Stop Sign Safety Camera Enforcement Sites,Active,2631
-77.0226990829995,38.946233770348,Kansas Ave ne/b @ Buchanan St NW,Stop Sign Safety Camera Enforcement Sites,Active,2632
-77.0178736754166,38.957660282314,Longfellow St w/b @ Missouri Ave NW,Stop Sign Safety Camera Enforcement Sites,Active,2633
-77.0429603317608,38.945082226114,Blagden Ave ne/b @ Allison St NW ,Stop Sign Safety Camera Enforcement Sites,Active,2634
-77.0333781985635,38.9699219311143,14th St @ Van Buren St NW,Stop Sign Safety Camera Enforcement Sites,Active,2635
-76.9689707354778,38.8694749863587,27th St n/b @ R St SE,Stop Sign Safety Camera Enforcement Sites,Active,2636
-76.9823224015613,38.8508351149888,Bruce Pl e/b @ 15th Pl SE,Stop Sign Safety Camera Enforcement Sites,Active,2637
-77.0728856200327,38.92391482001,2600 blk Wisconsin Ave NW s/b,Speed Safety Camera Enforcement Sites,Active,2639
-77.0094045394639,38.91278567023,1700 blk N Capitol St NE n/b,Speed Safety Camera Enforcement Sites,Active,2640
-77.0364148941938,38.9525351320198,16th St s/b @ Colorado Ave NW,Speed Safety Camera Enforcement Sites,Active,2641
-77.0334246336663,38.9620423182498,Military Rd w/b @ 14th St NW,Speed Safety Camera Enforcement Sites,Active,2642
-76.9792519494517,38.9216349197857,2400 blk 18th St NE s/b,Speed Safety Camera Enforcement Sites,Active,2644
-77.0002323605476,38.920223060145,400 blk Rhode Island Ave NW e/b,Speed Safety Camera Enforcement Sites,Active,2645
-76.9628708005589,38.8616805696952,3100 blk Alabama Ave SE ne/b,Speed Safety Camera Enforcement Sites,Active,2647
-77.0151548595074,38.8998116362413,3rd St Tunnel NW n/b by MA Ave,Speed Safety Camera Enforcement Sites,Active,2648
-76.9880697394737,38.9004740304092,1300 blk H St NE e/b,Speed Safety Camera Enforcement Sites,Active,2649
-77.0589759299899,38.9607935999946,2900 blk Military Rd NW e/b,Speed Safety Camera Enforcement Sites,Active,2651
-77.0490688998159,38.9027845903882,2200 blk K St NW w/b,Speed Safety Camera Enforcement Sites,Active,2654
-77.0490688998159,38.9027845903882,2200 block K St NW e/b,Speed Safety Camera Enforcement Sites,Active,2655
-77.1040325702735,38.9355364699891,5100 blk Loughborough Rd NW w/b,Speed Safety Camera Enforcement Sites,Active,2656
